score;completeness;rescuebot_action;rescuebot_location;charlie_action;charlie_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8380
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8381
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8382
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8383
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8384
27;0.75;MoveNorth;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8385
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8386
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8387
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8388
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8389
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8390
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8391
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8392
27;0.75;MoveNorthWest;(9, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8393
27;0.75;MoveNorthWest;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8394
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8395
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8396
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8397
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8398
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8399
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8400
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8401
27;0.75;MoveNorth;(8, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8402
27;0.75;MoveNorth;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8403
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8404
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8405
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8406
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8407
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8408
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8409
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8410
27;0.75;MoveSouthEast;(8, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8411
27;0.75;MoveSouthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8412
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8413
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8414
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8415
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8416
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8417
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8418
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8419
27;0.75;MoveNorthEast;(9, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8420
